"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","13,763,712","100"
"2","www.blogger.com","28,444,092","100"
"3","youtube.com","21,768,535","100"
"4","linkedin.com","11,309,424","99"
"5","microsoft.com","5,137,485","99"
"6","apple.com","6,320,773","99"
"7","play.google.com","3,755,924","99"
"8","support.google.com","5,096,418","99"
"9","mozilla.org","2,282,432","98"
"10","wordpress.org","11,560,845","98"
"11","youtu.be","4,922,935","98"
"12","docs.google.com","3,100,395","98"
"13","en.wikipedia.org","6,816,388","98"
"14","cloudflare.com","6,043,927","98"
"15","maps.google.com","5,218,813","98"
"16","googleusercontent.com","2,928,887","97"
"17","bp.blogspot.com","17,305,083","97"
"18","drive.google.com","2,281,398","97"
"19","sites.google.com","2,119,319","97"
"20","accounts.google.com","2,552,813","97"
"21","adobe.com","2,843,086","97"
"22","plus.google.com","11,531,604","97"
"23","europa.eu","2,082,431","97"
"24","whatsapp.com","3,111,750","97"
"25","istockphoto.com","3,470,385","96"
"26","es.wikipedia.org","941,424","96"
"27","facebook.com","57,615,335","96"
"28","vk.com","1,729,251","96"
"29","uol.com.br","672,777","96"
"30","github.com","2,665,955","96"
"31","t.me","954,291","96"
"32","amazon.com","4,853,230","96"
"33","vimeo.com","3,502,761","96"
"34","news.google.com","761,686","95"
"35","search.google.com","1,307,895","95"
"36","enable-javascript.com","8,163,311","95"
"37","myspace.com","1,384,153","95"
"38","google.co.jp","655,291","95"
"39","cpanel.net","1,575,566","95"
"40","jimdofree.com","1,706,057","95"
"41","mail.google.com","495,565","95"
"42","w3.org","1,142,558","95"
"43","policies.google.com","2,241,143","95"
"44","who.int","1,990,282","95"
"45","terra.com.br","204,358","95"
"46","reuters.com","906,687","95"
"47","paypal.com","1,088,793","95"
"48","dropbox.com","1,064,187","95"
"49","imdb.com","1,489,611","95"
"50","google.com.br","293,912","95"
"51","globo.com","442,392","95"
"52","live.com","879,434","95"
"53","google.es","471,610","95"
"54","dailymotion.com","1,138,487","95"
"55","google.de","1,126,340","95"
"56","forbes.com","1,485,780","95"
"57","developers.google.com","1,076,304","95"
"58","files.wordpress.com","7,574,751","95"
"59","medium.com","1,619,915","95"
"60","bbc.co.uk","1,717,116","95"
"61","bbc.com","865,301","95"
"62","cnn.com","1,587,080","95"
"63","wikimedia.org","1,928,388","95"
"64","creativecommons.org","1,700,521","95"
"65","brandbucket.com","11,155,010","95"
"66","feedburner.com","1,785,998","95"
"67","www.weebly.com","4,688,882","95"
