|Site|Status Code|Cookies|HttpOnly|Secure|SameSite|Strict|Lax|None|Path=/|Path=/[other]|
|----|-----------|-------|--------|------|--------|------|---|----|------|-------------|
|abcnews.go.com|200|2|0|0|0|0|0|0|2|0|
|about.com|200|0|0|0|0|0|0|0|0|0|
|alexa.com|200|0|0|0|0|0|0|0|0|0|
|alibaba.com|200|1|0|0|0|0|0|0|1|0|
|amazon.ca|503|0|0|0|0|0|0|0|0|0|
|amazon.co.uk|503|0|0|0|0|0|0|0|0|0|
|amazon.com|503|0|0|0|0|0|0|0|0|0|
|amazon.es|405|10|0|0|0|0|0|0|10|0|
|amazon.it|503|0|0|0|0|0|0|0|0|0|
|aol.com|404|0|0|1|0|0|0|0|0|0|
|biblegateway.com|200|0|0|0|0|0|0|0|0|0|
|bitly.com|405|0|0|0|0|0|0|0|0|0|
|bloomberg.com|200|1|0|0|0|0|0|0|1|0|
|books.google.com|200|2|2|0|0|0|0|0|2|0|
|box.com|200|0|0|0|0|0|0|0|0|0|
|bp3.blogger.com|400|0|0|0|0|0|0|0|0|0|
|cbsnews.com|200|3|0|0|0|0|0|0|3|0|
|cdc.gov|200|2|1|1|0|0|0|0|2|0|
|cnbc.com|503|0|0|0|0|0|0|0|0|0|
|creativecommons.org|200|0|0|0|0|0|0|0|0|0|
|debian.org|200|0|0|0|0|0|0|0|0|0|
|discord.gg|200|2|2|2|2|0|2|0|2|0|
|doubleclick.net|200|0|0|0|0|0|0|0|0|0|
|eonline.com|200|4|0|4|4|4|0|0|4|0|
|espn.com|200|7|0|0|0|0|0|0|7|0|
|feedburner.com|200|2|2|1|0|0|0|0|2|0|
|foxnews.com|200|0|0|0|0|0|0|0|0|0|
|freepik.com|200|2|1|1|1|1|0|0|1|0|
|gizmodo.com|200|4|0|3|2|0|0|2|4|0|
|gmail.com|200|1|1|1|0|0|0|0|1|0|
|gofundme.com|200|9|0|0|0|0|0|0|9|0|
|goodreads.com|200|3|1|0|0|0|0|0|3|0|
|google.co.id|200|2|1|1|0|0|0|0|2|0|
|gooyaabitemplates.com|406|0|0|0|0|0|0|0|0|0|
|groups.yahoo.com|200|0|0|0|0|0|0|0|0|0|
|guardian.co.uk|200|4|0|4|0|0|0|0|4|0|
|harvard.edu|200|0|0|0|0|0|0|0|0|0|
|hollywoodreporter.com|200|0|0|1|0|0|0|0|0|0|
|ibm.com|200|4|0|4|0|0|0|0|4|0|
|id.wikipedia.org|200|8|6|8|0|0|0|0|8|0|
|ign.com|403|0|0|0|0|0|0|0|0|0|
|ikea.com|200|2|0|1|0|0|0|0|2|0|
|indiatimes.com|200|0|0|0|0|0|0|0|0|0|
|instagram.com|405|4|1|5|0|0|0|0|4|0|
|iso.org|200|3|3|3|0|0|0|0|3|0|
|issuu.com|200|1|0|1|1|0|0|1|1|0|
|it.wikipedia.org|200|8|6|8|0|0|0|0|8|0|
|kompas.com|200|0|0|0|0|0|0|0|0|0|
|linkedin.com|http/2|5|1|5|5|0|0|5|5|0|
|list-manage.com|200|3|0|2|2|0|0|2|3|0|
|lycos.com|200|0|0|0|0|0|0|0|0|0|
|mayoclinic.org|200|1|0|0|0|0|0|0|1|0|
|mit.edu|200|0|0|0|0|0|0|0|0|0|
|mozilla.org|200|0|0|0|0|0|0|0|0|0|
|myaccount.google.com|200|3|3|0|0|0|0|0|3|0|
|namesilo.com|503|2|2|1|2|0|0|2|2|0|
|nbcnews.com|200|2|0|3|2|0|0|2|2|0|
|netlify.app|200|0|0|0|0|0|0|0|0|0|
|news.google.com|200|5|3|2|0|0|0|0|5|0|
|newsweek.com|403|0|0|0|0|0|0|0|0|0|
|nifty.com|200|0|0|0|0|0|0|0|0|0|
|nvidia.com|200|0|0|0|0|0|0|0|0|0|
|nypost.com|200|0|0|0|0|0|0|0|0|0|
|nytimes.com|200|7|0|5|3|0|1|2|7|0|
|ok.ru|200|2|2|2|0|0|0|0|2|0|
|opera.com|200|0|0|1|0|0|0|0|0|0|
|pcmag.com|200|0|0|0|0|0|0|0|0|0|
|playstation.com|200|0|0|0|0|0|0|0|0|0|
|princeton.edu|200|0|0|0|0|0|0|0|0|0|
|sakura.ne.jp|200|0|0|0|0|0|0|0|0|0|
|sciencedaily.com|403|0|0|0|0|0|0|0|0|0|
|search.google.com|200|2|1|1|0|0|0|0|2|0|
|soundcloud.com|200|0|0|0|0|0|0|0|0|0|
|stores.jp|200|0|0|0|0|0|0|0|0|0|
|surveymonkey.com|200|10|2|11|10|0|0|10|10|0|
|techradar.com|200|8|0|0|0|0|0|0|8|0|
|telegraph.co.uk|200|0|0|0|0|0|0|0|0|0|
|theguardian.com|200|4|0|4|0|0|0|0|4|0|
|thenextweb.com|200|0|0|0|0|0|0|0|0|0|
|thetimes.co.uk|200|5|0|3|0|0|0|0|5|0|
|thoughtco.com|200|3|0|1|0|0|0|0|3|0|
|tiktok.com|301|0|0|0|0|0|0|0|0|0|
|tinyurl.com|200|8|6|0|8|0|8|0|8|0|
|twitch.tv|200|4|1|3|3|0|0|3|3|0|
|un.org|200|0|0|0|0|0|0|0|0|0|
|wa.me|200|2|2|2|0|0|0|0|2|0|
|weibo.com|200|2|0|0|0|0|0|0|2|0|
|wsj.com|404|0|0|0|0|0|0|0|0|0|
|www.blogger.com|200|3|3|3|0|0|0|0|3|0|
|www.google.com|200|2|1|1|0|0|0|0|2|0|
|www.gov.br|403|0|0|0|0|0|0|0|0|0|
|yadi.sk|200|1|0|0|0|0|0|0|2|0|
|yandex.ru|200|1|0|0|0|0|0|0|2|0|
|yelp.com|200|7|3|0|2|0|2|0|7|0|
|youtu.be|200|5|5|5|3|0|0|3|5|0|

* Cookie count Min: 0
* Cookie count Max: 10
* Cookie count Mean: 1.9789473684210526
* Cookie count Median: 1
