URL,Framable?,x-frame-option-header,Reason
,,,
20minutos.es,yes,[None],none
abcnews.go.com,yes,[None],none
aboutads.info,no,['SAMEORIGIN'],Refused to display 'https://youradchoices.com/' in a frame because it set 'X-Frame-Options' to 'SAMEORIGIN'.
afternic.com,no,['SAMEORIGIN'],Refused to display 'https://www.afternic.com/' in a frame because it set 'X-Frame-Options' to 'SAMEORIGIN'.
akamaihd.net,no,[None],"Failed to load resource: A server with the specified hostname could not be found, Curl failed with no response"
amzn.to,no,['SAMEORIGIN'],Refused to display 'https://www.amazon.com/' in a frame because it set 'X-Frame-Options' to 'SAMEORIGIN'.
bbc.co.uk,no,['DENY'],Refused to load https://www.bbc.co.uk/ because it does not appear in the frame-ancestors directive of the Content Security Policy.
bit.ly,no,['DENY'],Refused to display 'https://bitly.com/' in a frame because it set 'X-Frame-Options' to 'DENY'.
bitly.com,no,['DENY'],Refused to display 'https://bitly.com/' in a frame because it set 'X-Frame-Options' to 'DENY'.
blog.google,yes,[None],none
boston.com,no,['SAMEORIGIN'],Refused to display 'https://www.boston.com/' in a frame because it set 'X-Frame-Options' to 'SAMEORIGIN'.
businessinsider.com,no,['SAMEORIGIN'],Refused to display 'https://www.businessinsider.com/' in a frame because it set 'X-Frame-Options' to 'sameorigin'.
buydomains.com,yes,[None],none
calendar.google.com,no,"['SAMEORIGIN', 'DENY']",Failed to load resource: A server with the specified hostname could not be found.
cointernet.com.co,yes,[None],none
cpanel.com,no,['SAMEORIGIN'],Refused to display 'https://www.cpanel.net/' in a frame because it set 'X-Frame-Options' to 'SAMEORIGIN'.
dailymotion.com,no,['DENY'],Refused to display 'https://www.dailymotion.com/' in a frame because it set 'X-Frame-Options' to 'deny'.
de.wikipedia.org,no,[None],Failed to load resource: A server with the specified hostname could not be found.
deezer.com,no,['SAMEORIGIN'],Refused to display 'https://www.deezer.com/us/' in a frame because it set 'X-Frame-Options' to 'SAMEORIGIN'.
depositfiles.com,no,['SAMEORIGIN'],Refused to display 'https://depositfiles.com/' in a frame because it set 'X-Frame-Options' to 'SAMEORIGIN'.
dreniq.com,yes,[None],none
e-monsite.com,no,['SAMEORIGIN'],Refused to display 'https://www.e-monsite.com/' in a frame because it set 'X-Frame-Options' to 'sameorigin'.
enable-javascript.com,yes,[None],none
espn.com,no,[None],Refused to load https://www.espn.com/ because it does not appear in the frame-ancestors directive of the Content Security Policy.
estadao.com.br,yes,[None],none
express.co.uk,no,['DENY'],Refused to load https://www.express.co.uk/ because it does not appear in the frame-ancestors directive of the Content Security Policy.
fifa.com,yes,[None],none
